----RRRR---RRRR.--RRR...-RR...BB-...BBB--.BBBB---BBBB---,B,R
----RRRR---RRRR.--RRR...-RR...BB-...BBB--BBBBB---.BBB---,R,R
----RRRR---RRRR.--RRR...-R.R..BB-...BBB--BBBBB---.BBB---,B,R
----RRRR---RRRR.--RRR...-R.R..BB-.B.BBB--.BBBB---.BBB---,R,R
----RRR.---RRRRR--RRR...-R.R..BB-.B.BBB--.BBBB---.BBB---,B,R
----RRR.---RRRRR--RRR...-R.R..BB-.B.BBB--.BBBB---B.BB---,R,R
----RRR.---RRRRR--RRR...-..R..BB-RB.BBB--.BBBB---B.BB---,B,R
----RRR.---RRRRR--RRR...-..R.BBB-RB.B.B--.BBBB---B.BB---,R,R
----RR.R---RRRRR--RRR...-..R.BBB-RB.B.B--.BBBB---B.BB---,B,R
----RR.R---RRRRR--RRR...-..RBBBB-RB...B--.BBBB---B.BB---,R,R
----RR.R---RRRRR--R.R...-.RRBBBB-RB...B--.BBBB---B.BB---,B,R
----RR.R---RRRRR--R.R...-.RRBBBB-RB.B.B--.BB.B---B.BB---,R,R
----RR.R---RRRRR--R.R...-.R.BBBB-RBRB.B--.BB.B---B.BB---,B,R
----RR.R---RRRRR--R.R...-.R.BBBB-RBRB.B--.BBBB---B.B.---,R,R
----RR.R---.RRRR--RRR...-.R.BBBB-RBRB.B--.BBBB---B.B.---,B,R
----RR.R---.RRRR--RRR..B-.R.BBB.-RBRB.B--.BBBB---B.B.---,R,R
----RR.R---.RRRR--R.R..B-.RRBBB.-RBRB.B--.BBBB---B.B.---,B,R
----RR.R---.RRRR--R.R.BB-.RRB.B.-RBRB.B--.BBBB---B.B.---,R,R
----RR.R---.RRRR--R.R.BB-.RRB.B.-.BRB.B--RBBBB---B.B.---,B,R
----RR.R---.RRRR--R.R.BB-.RRBB..-.BRB.B--RBBBB---B.B.---,R,R
----RR.R---.RRRR--R.R.BB-..RBB..-RBRB.B--RBBBB---B.B.---,B,R
----RR.R---.RRRR--R.R.BB-..RBB..-RBRBBB--RBBB.---B.B.---,R,R
----RR.R---.RRRR--.RR.BB-..RBB..-RBRBBB--RBBB.---B.B.---,B,R
----RR.R---.RRRR--.RR.BB-.BRBB..-R.RBBB--RBBB.---B.B.---,R,R
----RR.R---.R.RR--.RRRBB-.BRBB..-R.RBBB--RBBB.---B.B.---,B,R
----RR.R---.R.RR--.RRRBB-.BRBB..-R.RBBB--RBBB.---BB..---,R,R
----RR.R---.R.RR--.RRRBB-.B.BB..-RRRBBB--RBBB.---BB..---,B,R
----RR.R---.R.RR--BRRRBB-...BB..-RRRBBB--RBBB.---BB..---,R,R
----RR.R---..RRR--BRRRBB-...BB..-RRRBBB--RBBB.---BB..---,B,R
----RR.R---B.RRR--.RRRBB-...BB..-RRRBBB--RBBB.---BB..---,R,R
----.R.R---BRRRR--.RRRBB-...BB..-RRRBBB--RBBB.---BB..---,B,R
----.R.R---BRRRR--.RRRBB-..B.B..-RRRBBB--RBBB.---BB..---,R,R
----.R.R---BRRRR--.R.RBB-..BRB..-RRRBBB--RBBB.---BB..---,B,R
----BR.R---.RRRR--.R.RBB-..BRB..-RRRBBB--RBBB.---BB..---,R,R
----BR.R---.R.RR--.RRRBB-..BRB..-RRRBBB--RBBB.---BB..---,B,R
----BR.R---.R.RR--.RRRBB-..BRBB.-RRRB.B--RBBB.---BB..---,R,R
----BR.R---..RRR--.RRRBB-..BRBB.-RRRB.B--RBBB.---BB..---,B,R
----BR.R---..RRR--.RRRBB-..BRBBB-RRRB..--RBBB.---BB..---,R,R
----B..R---.RRRR--.RRRBB-..BRBBB-RRRB..--RBBB.---BB..---,B,R
----B..R---.RRRR--.RRRBB-.B.RBBB-RRRB..--RBBB.---BB..---,R,R
----B..R---.RRRR--.R.RBB-.BRRBBB-RRRB..--RBBB.---BB..---,B,R
